"Aire de jeux","71 Boulevard Haussmann, Paris","park","48.874","2.32367","75008","Aire_75008_823","pa-75008","kfex3075","kfex3075_824"
"Ajaccio Square","2 Boulevard des Invalides, Paris","park","48.8578","2.31489","75006","Ajac_75006_597","pa-75006","kfex3075","kfex3075_598"
"A l'Improviste","21 Rue Médéric, Paris","restaurant","48.8811","2.30395","75017","Al'_75017_1986","re-75017","kfex3075","kfex3075_1987"
"A la Ville de Petrograd","13 Rue Daru, Paris","restaurant","48.878","2.30177","75017","Ala_75017_1976","re-75017","kfex3075","kfex3075_1977"
"Albarino Passy","4 Rue Lekain, Paris","restaurant","48.8568","2.27863","75016","Alba_75016_1830","re-75016","kfex3075","kfex3075_1831"
"Albe Hotel","1 Rue de la Harpe, Paris","playground","48.8531","2.34472","75004","Albe_75004_477","pl-75004","kfex3075","kfex3075_478"
"Allard","41 Rue Saint-André des Arts, Paris","restaurant","48.8533","2.34101","75005","Alla_75005_531","re-75005","kfex3075","kfex3075_532"
"Allée Eveline Garnier","Rue de Louvois, Paris","park","48.8683","2.33731","75001","Allé_75001_26","pa-75001","kfex3075","kfex3075_27"
"Allée Andrée Jacob","Rue de Louvois, Paris","park","48.8683","2.33731","75001","Allé_75001_27","pa-75001","kfex3075","kfex3075_28"
"Allée Jacques Derrida","Boulevard Raspail, Paris","park","48.847","2.32811","75006","Allé_75006_604","pa-75006","kfex3075","kfex3075_605"
"Allée Soeur Emmanuelle","Boulevard Raspail, Paris","park","48.8441","2.32897","75006","Allé_75006_611","pa-75006","kfex3075","kfex3075_612"
"Allée Suzanne Noël","Boulevard de Ménilmontant, Paris","park","48.8631","2.3871","75011","Allé_75011_1089","pa-75011","kfex3075","kfex3075_1090"
"Allée Zabel Essayan","Boulevard de Ménilmontant, Paris","park","48.8631","2.3871","75011","Allé_75011_1090","pa-75011","kfex3075","kfex3075_1091"
"Allée Nicole Girard-Mangin","Boulevard de Ménilmontant, Paris","park","48.8631","2.3871","75011","Allé_75011_1091","pa-75011","kfex3075","kfex3075_1092"
"Allée Claude Mademba Sy","Square Claude-Nicolas-Ledoux, Rue Froidevaux, Paris","park","48.8343","2.33136","75014","Allé_75014_1526","pa-75014","kfex3075","kfex3075_1527"
"Allée Samuel BECKETT","28 Avenue René Coty, Paris","park","48.8288","2.33414","75014","Allé_75014_1545","pa-75014","kfex3075","kfex3075_1546"
"Allée aux chiens","Rue des Morillons Dantzig, Paris","park","48.833","2.29934","75015","Allé_75015_1681","pa-75015","kfex3075","kfex3075_1682"
"Allée des Chiens du Parc Georges Brassens","Rue de Dantzig, Paris","park","48.8323","2.29802","75015","Allé_75015_1683","pa-75015","kfex3075","kfex3075_1684"
"Allée Pierre-Christian Taittinger","Avenue Henri Martin, Paris","park","48.8643","2.27536","75016","Allé_75016_1786","pa-75016","kfex3075","kfex3075_1787"
"Allées Jacques Brel","Avenue de Flandre, Paris","park","48.8896","2.37561","75019","Allé_75019_2215","pa-75019","kfex3075","kfex3075_2216"
"Alliance Vie Paris 16","47 Rue de Boulainvilliers, Paris","park","48.856","2.2747","75016","Alli_75016_1785","pa-75016","kfex3075","kfex3075_1786"
"Allo Pizza Express","63 Boulevard Kellermann, Paris","restaurant","48.8207","2.35085","75013","Allo_75013_1443","re-75013","kfex3075","kfex3075_1444"
"Allo Pizza Paris","96 Rue de la Faisanderie, Paris","restaurant","48.8664","2.27416","75016","Allo_75016_1842","re-75016","kfex3075","kfex3075_1843"
"Alpine Garden","57 Rue Cuvier, Paris","park","48.8439","2.35857","75004","Alpi_75004_408","pa-75004","kfex3075","kfex3075_409"
"Al Wady Restaurant Libanais","153-155 Rue de Lourmel, Paris","restaurant","48.8398","2.28345","75015","AlW_75015_1738","re-75015","kfex3075","kfex3075_1739"
"Alyss Hôtel","62 Rue de la Croix Nivert, Paris","playground","48.8451","2.29735","75015","Alys_75015_1751","pl-75015","kfex3075","kfex3075_1752"
"Amadeus Café","54 Bis Avenue Mozart, Paris","restaurant","48.8549","2.26944","75016","Amad_75016_1843","re-75016","kfex3075","kfex3075_1844"
"Amarante Beau Manoir","6 Rue de l'Arcade, Paris","playground","48.8711","2.32346","75008","Amar_75008_914","pl-75008","kfex3075","kfex3075_915"
"America Legion Post #1 Paris","22-24 Boulevard Diderot, Paris","museum","48.8457","2.37472","75011","Amer_75011_1145","mu-75011","kfex3075","kfex3075_1146"
"AmHotel Italie Paris","96 Avenue de Choisy, Paris","playground","48.8251","2.36114","75013","AmHo_75013_1475","pl-75013","kfex3075","kfex3075_1476"
"Amici Miei","44 Rue Saint Sabin, Paris","restaurant","48.8582","2.36936","75003","Amic_75003_320","re-75003","kfex3075","kfex3075_321"
"Amiral Hotel","98 Avenue d'Italie, Paris","playground","48.8253","2.35717","75013","Amir_75013_1470","pl-75013","kfex3075","kfex3075_1471"
"Amplo quarto em Paris","79 Rue Brillat Savarin, Paris","park","48.8238","2.34277","75013","Ampl_75013_1397","pa-75013","kfex3075","kfex3075_1398"
"Anahuacalli","30 Rue des Bernardins, Paris","restaurant","48.8499","2.35042","75004","Anah_75004_438","re-75004","kfex3075","kfex3075_439"
"Anahi","49 Rue Volta, Paris","restaurant","48.8671","2.35822","75010","Anah_75010_1023","re-75010","kfex3075","kfex3075_1024"
"ancien hôpital Boucicaut Garden","7 Allée Isadora Duncan, Paris","park","48.8419","2.28394","75015","anci_75015_1658","pa-75015","kfex3075","kfex3075_1659"
"ANDIA","19 Chaussée de la Muette, Paris","restaurant","48.8582","2.27224","75016","ANDI_75016_1819","re-75016","kfex3075","kfex3075_1820"
"Andy Wahloo","69 Rue des Gravilliers, Paris","restaurant","48.8645","2.35419","75002","Andy_75002_208","re-75002","kfex3075","kfex3075_209"
"Angelina","226 Rue de Rivoli, Paris","restaurant","48.8651","2.32844","75001","Ange_75001_58","re-75001","kfex3075","kfex3075_59"
"Animalis Paris 12 - Bercy","Centre commercial, 47 Rue des Pirogues de Bercy, Paris","playground","48.8333","2.38745","75012","Anim_75012_1329","pl-75012","kfex3075","kfex3075_1330"
"Animation et recrutement Camping","26 Rue Damrémont, Paris","park","48.8887","2.33336","75018","Anim_75018_2049","pa-75018","kfex3075","kfex3075_2050"
"Antiquités égyptiennes Musée du Louvre","Rue de Rivoli, Paris","museum","48.8601","2.33961","75001","Anti_75001_147","mu-75001","kfex3075","kfex3075_148"
"Anya Hotel","5 Passage Viallet, Paris","playground","48.8566","2.38154","75011","Anya_75011_1156","pl-75011","kfex3075","kfex3075_1157"
"À paris","10 Avenue de Camoens, Paris","park","48.8597","2.28606","75016","Àpa_75016_1808","pa-75016","kfex3075","kfex3075_1809"
"Aparthotel Adagio Paris Haussmann Champs-Elysées","129- 131 Boulevard Haussmann, Paris","playground","48.875","2.31334","75008","Apar_75008_908","pl-75008","kfex3075","kfex3075_909"
"Aparthotel Adagio Paris Opéra","43 Rue de Caumartin, Paris","playground","48.8727","2.32809","75008","Apar_75008_924","pl-75008","kfex3075","kfex3075_925"
"Aparthotel Adagio Access Paris Philippe Auguste","12 Rue Pierre Bayle, Paris","playground","48.8588","2.39104","75011","Apar_75011_1162","pl-75011","kfex3075","kfex3075_1163"
"Aparthotel Adagio Access Paris Porte de Charenton","203 Rue de Paris, Charenton-le-Pont","playground","48.8292","2.40123","75012","Apar_75012_1309","pl-75012","kfex3075","kfex3075_1310"
"Apartments WS Tour Eiffel - Nicolo","27 Rue Nicolo, Paris","playground","48.8593","2.27942","75016","Apar_75016_1901","pl-75016","kfex3075","kfex3075_1902"
"Aparthotel Adagio Paris Montmartre","10 Place Charles Dullin, Paris","playground","48.8834","2.3429","75018","Apar_75018_2162","pl-75018","kfex3075","kfex3075_2163"
"Aparthotel Adagio Paris Buttes Chaumont","3 - 5 Cours du 7ème art, Paris","playground","48.8779","2.38737","75019","Apar_75019_2318","pl-75019","kfex3075","kfex3075_2319"
"Apicius","20 Rue d'Artois, Paris","restaurant","48.8737","2.30785","75008","Apic_75008_876","re-75008","kfex3075","kfex3075_877"
"Apostrophe Hotel","3 Rue de Chevreuse, Paris","playground","48.8418","2.33178","75006","Apos_75006_685","pl-75006","kfex3075","kfex3075_686"
"Appartements Napoléon III","Louvre Museum, Paris","museum","48.8606","2.33764","75001","Appa_75001_142","mu-75001","kfex3075","kfex3075_143"
"Appart Hôtel - Residhome Paris Opéra","30 Rue Joubert, Paris","playground","48.8748","2.32909","75008","Appa_75008_920","pl-75008","kfex3075","kfex3075_921"
"Appartement A Deux Pas de Montmartre","18 Boulevard Ornano, Paris","playground","48.8928","2.3491","75018","Appa_75018_2174","pl-75018","kfex3075","kfex3075_2175"
"Appart'City Classic Paris La Villette - Appart Hôtel","157 Avenue Jean Jaurès, Paris","playground","48.8872","2.38631","75019","Appa_75019_2308","pl-75019","kfex3075","kfex3075_2309"
